bionicc_CA	https://cdn.discordapp.com/attachments/1213219169760444416/1255224606084694099/bionicc_CA.zip?ex=67ecd5c3&is=67eb8443&hm=36ff53f78c13e967d35d4ea32a0574de679140f8f465fb692bc884d46f06f4bc&	BIONIC COMMANDO w ANIMATED CONTROLS	2024-07-05 00:00:00	1.0	bionicc.zip		MAME 2003+	Zydonian - modeler: Madbill/Zydonian
blktiger	https://cdn.discordapp.com/attachments/1066438854090965043/1191836434223603933/area51.zip?ex=67ecf16d&is=67eb9fed&hm=e8fdf91da7888fdb8835add2e6014c2d4cb774bbbb70a5847e6fbfd681d91a21&	Black Tiger	2024-01-02 00:00:00	1.0	blktiger.zip		MAME 2003+	Zydonian - modeler: mAdbiLL
blktiger	https://drive.google.com/uc?export=download&id=1Gq2alfvBu47F9e2fM_VOt9M4a2KLyAsv	Black Tiger	2024-01-27 00:00:00	1.0	blktiger.zip		MAME 2003+	Crusher124 - modeler: Crusher124
bwidow	https://drive.google.com/uc?export=download&id=1JNpUDMRlKj3_ChApnA_uRIuv4R6jtiUH	Black Widow	2024-01-31 00:00:00	1.0	bwidow.zip	features dual-joystick controls, like Smash TV and Robotron: 2084	MAME 2003+	Crusher124 - modeler: Crusher124
blaster	https://drive.google.com/uc?export=download&id=1z1a_qHJZw5EQ26IexRJa0hX3mEuNHoID	Blaster	2024-05-06 00:00:00	1.0	blaster.zip		MAME 2003+	mAdbiLL - modeler: Dan Ludemann/mAdbiLL
blstroid	https://drive.google.com/uc?export=download&id=17gdAgdXDOIMD3ufxKl3GI0OVKiwmdpSt	Blasteroids	2023-08-11 00:00:00	1.0	blstroid.zip		MAME 2003+	Angelicide - modeler: Angelicide
bloodbro	https://drive.google.com/uc?export=download&id=15fDSdfth8TPD1mrmAnpOBkjLIqAZIJ87	Blood Brothers	2023-07-02 00:00:00	1.0	bloodbro.zip		MAME 2003+	mAdbiLL - modeler: emunch
bluehawk	https://drive.google.com/uc?export=download&id=13dStdFSGE4zaWYExKDosJgbX0l4WQcZQ	Blue Hawk		1.0	bluehawk.zip		MAME 2003+	dmacell - modeler: Crusher124
blueprnt	https://drive.google.com/uc?export=download&id=1_Z28J_ntQOawaEn6YUOHhs4Hfcfu8O7U	Blue Print	2024-03-13 00:00:00	1.0	blueprnt.zip		MAME 2003+	ded head - modeler: Crusher124
bombjack	https://drive.google.com/uc?export=download&id=1Sncim_Cbg8jViTWQHHMQebJHW31dp4p2	Bomb Jack	2023-05-18 00:00:00	1.0	bombjack.zip		MAME 2003+	emunch - modeler: emunch
bbmanw	https://drive.google.com/uc?export=download&id=1Wkd-Gv1zi4-049OKmNOJ7Wq2Bjkkm8FA	Bomber Man World	2023-08-04 00:00:00	1.0	bbmanw.zip	original concept by ded head	MAME 2003+	Angelicide - modeler: Angelicide
bosco	https://drive.google.com/uc?export=download&id=1l1pcPAFcbw_ln295JqC3D4RkGWRddXHP	Bosconian	2024-01-27 00:00:00	1.0	bosco.zip		MAME 2003+	Crusher124 - modeler: Crusher124
bottom9	https://drive.google.com/uc?export=download&id=14GC9mZuMQQz6kLY9DA1S4GfvFsy8IqTG	Bottom of the 9th	2024-01-27 00:00:00	1.0	bottom9.zip		MAME 2003+	Crusher124 - modeler: Crusher124
bouldash	https://drive.google.com/uc?export=download&id=1S-85xkzvlrCQqWFyT97pGeN7M2atPLY2	Boulder Dash	2023-08-17 00:00:00	1.0	bouldash.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
brkthru	https://drive.google.com/uc?export=download&id=1XWsS29mI62UXeB9YucZNf6cI8C0mvU1h	BreakThru	2024-03-03 00:00:00	1.0	brkthru.zip	optimized for mixed reality	MAME 2003+	mAdbiLL - modeler: mAdbiLL
gameboyadv_BruceLee	https://cdn.discordapp.com/attachments/1213219169760444416/1246523241179123874/gameboyadv_tekkenadvance.zip?ex=67ed7abb&is=67ec293b&hm=4ec149a2245da4f77e5eb9e37156696ebd4ae5f5a2b44dc4e9b0c534f07070b7&	Bruce Lee (Gameboy)	2024-06-01 00:00:00	1.0	Bruce Lee - Return of the Legend (USA).gba		mgba	Crusher124 - modeler: Crusher124
bubbles	https://drive.google.com/uc?export=download&id=1C_AoBFsF4pRigl9gaebCR9a_0Cp_iwhB	Bubbles	2023-12-29 00:00:00	1.0	bubbles.zip		MAME 2003+	Crusher124 - modeler: Crusher124
buckrog	https://drive.google.com/uc?export=download&id=1-j693keUBqcXufTF3WwZHhvXos_UMdM7	Buck Rogers	2023-07-01 00:00:00	1.0	buckrog.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
bucky	https://drive.google.com/uc?export=download&id=1fC_ttDjRVMRm7fqqZrcNYGgTnb_h3ox-	Bucky O'Hare	2023-07-27 00:00:00	1.0	bucky.zip		MAME 2003+	DangerMiaus - modeler: Crusher124
spdbuggy	https://drive.google.com/uc?export=download&id=17QKH5GXMkwiOmBcWAobEt7TdC_fhCffU	Buggy Boy Jr.	2023-07-28 00:00:00	1.0	spdbuggy.zip	rom doesn't work in current version -- just for show	MAME 2003+	DangerMiaus - modeler: emunch
brubber	https://drive.google.com/uc?export=download&id=1DqM5WC8p84t-z9LLNXAR2ekvdsLexYsP	Bump N' Jump	2024-05-07 00:00:00	1.0	brubber.zip		MAME 2003+	topbuzz - modeler: Crusher124
